Type,Title,eclrow2,Content,eclrow5,Content6,Image
 Kermi GmbH , x-well D13 with SmartControl Bluetooth ,Annual Electricity Consumption, 129,Maximum flow rate, 43,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Kermi GmbH , x-well D13 with Bluetooth-Switch ,Annual Electricity Consumption, 179,Maximum flow rate, 43,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Kermi GmbH , x-well D13 with Bluetooth-Switch and sensor PP1 ,Annual Electricity Consumption, 179,Maximum flow rate, 43,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Mitsubishi Electric , VL-350CZPVU2-L-EG ,Annual Electricity Consumption, 2,Maximum flow rate, 350,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Mitsubishi Electric , VL-350CZPVU2-R-EG ,Annual Electricity Consumption, 2,Maximum flow rate, 350,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OXYGEN , X-Air C200 v2 ,Annual Electricity Consumption, 226,Maximum flow rate, 200,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-L1-F7/M5-C8-L/AZ ,Annual Electricity Consumption," 142,9",Maximum flow rate, 315,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-L1-M5/M5-C8-L/A ,Annual Electricity Consumption," 148,2",Maximum flow rate, 320,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-L1-M5/M5-C8-L/AZ ,Annual Electricity Consumption," 142,9",Maximum flow rate, 328,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-R1-M5/M5-C8-L/AZ ,Annual Electricity Consumption," 142,9",Maximum flow rate, 328,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-L1-F7/M5-C8-L/A ,Annual Electricity Consumption," 148,2",Maximum flow rate, 307,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-R1-F7/M5-C8-L/A ,Annual Electricity Consumption," 148,2",Maximum flow rate, 307,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-R1-M5/M5-C8-L/A ,Annual Electricity Consumption," 148,2",Maximum flow rate, 320,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Komfovent , DOMEKT-R-300-V-R1-F7/M5-C8-L/AZ ,Annual Electricity Consumption," 142,9",Maximum flow rate, 315,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Titon , HRV1.65 Q+ Eco HMB ,Annual Electricity Consumption, 2,Maximum flow rate, 344,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Titon , HRV1.65 Q+ Eco aura ,Annual Electricity Consumption, 2,Maximum flow rate, 344,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Pluggit GmbH , ASPH1.0 ,Annual Electricity Consumption, 253,Maximum flow rate, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300 - ZA - H -FV ,Annual Electricity Consumption, 280,Maximum flow rate, 445,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300 - ZA - H -FV - NF ,Annual Electricity Consumption, 280,Maximum flow rate, 445,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300XL - ZA - H ,Annual Electricity Consumption, 389,Maximum flow rate, 540,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300XL - ZA -V ,Annual Electricity Consumption, 389,Maximum flow rate, 540,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Pluggit GmbH , ASPV1.0 ,Annual Electricity Consumption, 271,Maximum flow rate, 225,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Pluggit GmbH , ASPV3.0 ,Annual Electricity Consumption, 298,Maximum flow rate, 540,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300XL - ZA - V - FV ,Annual Electricity Consumption, 389,Maximum flow rate, 540,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300XL - ZA - V - NF ,Annual Electricity Consumption, 389,Maximum flow rate, 540,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ORCA , FLEXI 50 ,Annual Electricity Consumption, 144,Maximum flow rate, 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300 - ZA - H - NF ,Annual Electricity Consumption, 280,Maximum flow rate, 445,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO300XL - ZA - V - FV - NF ,Annual Electricity Consumption, 389,Maximum flow rate, 540,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO275 LIGHT - H - ZA ,Annual Electricity Consumption, 253,Maximum flow rate, 445,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX , ECO 375.2.TSZ.270.PL. ,Annual Electricity Consumption, 395,Maximum flow rate, 476,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
