Type,Title,eclrow15,Content16,eclrow11,Content12,Image
 Bosch , 7736505680 ,Annual fuel consumption, 7,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Bosch , 7736505679 ,Annual fuel consumption, 7,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 OCEAN , SVO 30 CE ,Annual fuel consumption, 559,Annual electricity consumption , 559,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 WATERKOTTE , EcoWell 200 ,Annual electricity consumption , 797,Water heating energy efficiency, 129,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Vulcano , 7736505008 ,Annual fuel consumption, 18,Annual electricity consumption , 26,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505009 ,Annual fuel consumption, 18,Annual electricity consumption , 26,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505006 ,Annual fuel consumption, 6,Annual electricity consumption , 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736505012 ,Annual fuel consumption, 6,Annual electricity consumption , 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736505014 ,Annual fuel consumption, 18,Annual electricity consumption , 26,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505010 ,Annual fuel consumption, 18,Annual electricity consumption , 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505007 ,Annual fuel consumption, 6,Annual electricity consumption , 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736505015 ,Annual fuel consumption, 18,Annual electricity consumption , 26,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505011 ,Annual fuel consumption, 18,Annual electricity consumption , 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736505016 ,Annual fuel consumption, 18,Annual electricity consumption , 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736505013 ,Annual fuel consumption, 6,Annual electricity consumption , 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736505017 ,Annual fuel consumption, 18,Annual electricity consumption , 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH120S ,Annual electricity consumption , 551,Water heating energy efficiency, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH150I ,Annual electricity consumption , 1 258,Water heating energy efficiency, 81,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH120 ,Annual electricity consumption , 551,Water heating energy efficiency, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH120I ,Annual electricity consumption , 551,Water heating energy efficiency, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH150 ,Annual electricity consumption , 1 258,Water heating energy efficiency, 81,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH150IS ,Annual electricity consumption , 1 258,Water heating energy efficiency, 81,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH120IS ,Annual electricity consumption , 551,Water heating energy efficiency, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , HPWH150S ,Annual electricity consumption , 1 258,Water heating energy efficiency, 81,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Baxi Spa , A7677361 - SCALDACQUA IN PDC SPC90 ,Annual electricity consumption , 700,Water heating energy efficiency, 140,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Baxi Spa , A7736164 - SPC SPLIT 150 WH2 ,Annual electricity consumption , 733,Water heating energy efficiency, 140,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 ATLANTIC , 090788 ,Annual electricity consumption , 1 909,Water heating energy efficiency, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , AURES SD 5.5 BS EU 3520020 ,Annual fuel consumption, -,Annual electricity consumption , 464,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , AURES PRO 18 EU 3520040 ,Annual fuel consumption, -,Annual electricity consumption , 481,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , AURES S 4 SH EU 3520011 ,Annual fuel consumption, -,Annual electricity consumption , 464,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , AURES SM 5 EU 3520021 ,Annual fuel consumption, -,Annual electricity consumption , 464,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , AURES SM 12 TR EU 3520031 ,Annual fuel consumption, -,Annual electricity consumption , 477,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vaillant , VED E 21/8 E ,Annual fuel consumption, -,Annual electricity consumption , 468,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , AURES S 5 SH EU 3520012 ,Annual fuel consumption, -,Annual electricity consumption , 464,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
