Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
 LINCAR , IDROBOILER ,Direct heat output," 1,8",Indirect heat output," 20,1",Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Gazco , 134-134 ,Direct heat output," 5,3",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Gazco , 134-702FR ,Direct heat output," 5,7",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Gazco , 134-134FR ,Direct heat output," 5,3",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Gazco , 134-702 ,Direct heat output," 5,7",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Sencys , 5658760 ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 TMC , PU 210 TO ,Direct heat output, 9,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 M ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 A ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 M (SH140-W-02) ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 A (SH140-W-02) ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 C ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 C (SH140-W-02) ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 D (SH140-W-02) ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Jøtul , PF733 ,Direct heat output," 7,3",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , MC 65/60 PLUS ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 GAZCO , 134-702FR ,Direct heat output," 5,7",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 GAZCO , 134-134FR ,Direct heat output," 5,3",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
